title                             | id                          | version         | screensaver-title        | package-size | billing-state | bs-libraries-provided | bs-libraries-required   | build-version | bytecode-version | dev-id                                   | dial-title         | expire-date | has-background-task | has-bs-library | has-homescreen-items | has-list-grid-ui | has-remote-sound | has-rsg-components | has-screensaver | has-screensaver-settings | has-theme | has-ui | is-bytecode-package | is-compiled | is-hidden | is-instant-on | is-mounted | is-ndk | is-paid-for | is-rsg-app | is-rsg-component-library | is-server-managed | is-static | is-subscription | is-titan-app | last-exit-code       | location           | major-version | minor-version | package-checksum                                                 | package-format | payment-schedule | renewal-date | rsg-component-libraries-required | sync-scope | ui-resolutions
Logo Rain                         | 278897                      | 1.0.0           | Logo Rain                | 174576       |               |                       |                         | 0             |                  | 8cd771ca0094e5a901bd59b5b3ca74f3e48f76cf |                    |             | false               | false          | false                | false            | false            | false              | true            | false                    | false     | false  | false               | false       | false     | false         | false      | false  | true        |            | false                    | false             | false     | false           |              | EXIT_UNKNOWN         | nvram              | 1             | 0             |                                                                  | zip            |                  |              |                                  | rom        |               
Mobile Screensaver                | 70151                       | 1.1.7           | Mobile Screensaver       | 121760       | Valid         |                       |                         | 7             |                  |                                          |                    |             | false               | false          | false                | false            | false            | false              | true            |                          | false     | false  | false               | false       | true      | false         | false      | false  | true        |            | false                    | false             | false     | false           |              | EXIT_UNKNOWN         | unloaded           | 1             | 01            | 4dad1798c07e0058b844f0fe17408611efed9779                         | n/a            | None             |              |                                  | public     |               
NBA                               | 73249                       | 3.11.1          |                          | 3725888      | Valid         |                       | googleima3,roku_ads_lib | 1             |                  |                                          |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | false               | false       | false     | false         | false      | false  | true        | true       | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 3             | 11            | 0167f63c49e26bd3bfdcc97ea0e1b1cd833dff7c                         | n/a            | None             |              | roku_analytics                   | public     | fhd           
Netflix                           | 12                          | 4.2.98076452    |                          | 16257024     | Valid         |                       |                         | 098076452     |                  | dc22279d0486a201e4672d5dc88bc9c66de38d77 | Netflix            |             | false               | false          | false                | false            | false            | false              | false           | false                    | false     | true   | false               | true        | false     | true          | true       | true   | true        | false      | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | nvram-and-unloaded | 4             | 2             | 0543d6c5e0b3832ffdb97dc6edc943a8b17409828ffa422116addc18d0458658 | squashfs-zlib  | None             |              |                                  | public     | sd,hd         
Pandora                           | 28                          | 5.5.4           |                          | 1215392      | Valid         |                       | roku_ads_lib            | 4             | 17               |                                          |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | true                | false       | false     | false         | false      | false  | true        | true       | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 5             | 5             | c794f127d2e0ca4e6247ed6ff03c794b3f74dcf6                         | n/a            | None             |              | roku_analytics                   | public     | fhd           
Paramount Plus                    | 31440                       | 6.4.20220124    |                          | 2325424      | Valid         |                       | googleima3,roku_ads_lib | 20220124      |                  |                                          | ParamountPlus      |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | false               | false       | false     | false         | false      | false  | true        | true       | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 6             | 4             | 35da67f5a606f4b3e1e6d942ca7a1674ed5ec2d5                         | n/a            | None             |              | roku_analytics                   | public     | fhd           
Peacock TV                        | 593099                      | 3.2.10          |                          | 3876544      | Valid         |                       | roku_ads_lib            | 10            | 17               |                                          |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | true                | false       | false     | false         | false      | false  | true        | true       | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 3             | 2             | d7017ebaf5f82ab58e80a3691c93dddb24a5a621                         | n/a            | None             |              | roku_analytics                   | public     | hd,fhd        
Play On Roku                      | 15985                       | 3.4.3           |                          | 344064       | Valid         |                       |                         | 3             |                  | 007428329c37e9c5b5260c1e34cad4e2e34e6691 |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | false               | false       | true      | false         | false      | false  | true        | false      | false                    | true              | false     | false           | false        | EXIT_UNKNOWN         | nvram-and-unloaded | 3             | 4             | aa0917dcb9152a85738585ea18b776a9b0ac947029e6e4f9b25e7eef713aa112 | cramfs         | None             |              |                                  | public     | hd,fhd        
Plex - Free Movies & TV           | 13535                       | 6.9.13          |                          | 3427232      | Valid         |                       | roku_ads_lib            | 13            | 17               |                                          |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | true                | false       | false     | false         | false      | false  | true        | true       | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 6             | 9             | 51f89dbce3117d4248d7fa57e10a2ba91271ebb7                         | n/a            | None             |              | roku_analytics                   | public     | fhd           
Pluto TV - It's Free TV           | 74519                       | 5.15.4          |                          | 3740624      | Valid         |                       | googleima3,roku_ads_lib | 4             | 17               |                                          |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | true                | false       | false     | false         | false      | false  | true        | false      | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 5             | 15            | 928af442042f8a8aa86a848ca6e6cedddf2a3319                         | n/a            | None             |              |                                  | public     | fhd           
